host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,0.86,0,2,1,1,0,3,1.0,1.0,1903.0,3,90,1,0,24,54,329,4.85,4.95,4.81,4.97,4.91,4.66,4.75,0,0.45,3,1,13,7.75
3,1.0,1.0,0,2,1,1,2,2,1.0,1.0,1286.0,14,180,1,0,22,52,327,4.75,5.0,4.5,4.25,4.75,4.75,5.0,0,0.04,2,1,13,6.72
3,1.0,0.9,1,10,1,1,2,2,1.0,1.0,1350.0,2,365,1,20,50,80,355,4.77,4.67,4.83,4.8,4.87,4.73,4.83,0,0.2,0,1,13,12.71
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,700.0,1,1125,1,0,23,53,328,4.47,4.66,4.52,4.69,4.73,4.42,4.51,0,1.73,3,0,11,10.29
3,1.0,0.9,1,10,1,1,1,2,1.0,1.0,1384.0,2,14,1,25,55,85,360,4.79,4.76,4.85,4.87,4.85,4.74,4.68,0,1.33,3,1,13,8.81
3,1.0,0.85,0,12,1,1,0,4,2.0,2.0,4050.0,2,90,1,6,15,41,139,4.83,4.9,4.83,4.83,4.83,4.69,4.78,0,1.16,3,1,10,10.14
3,1.0,0.93,0,4,1,1,0,2,1.0,1.0,1200.0,14,730,1,0,0,26,301,4.77,4.85,4.75,4.88,4.83,4.7,4.58,0,0.31,3,1,11,10.57
3,1.0,0.83,1,4,1,1,0,4,2.0,2.0,1693.0,30,365,1,0,0,0,173,4.92,4.85,4.81,4.96,4.77,4.54,4.54,0,0.19,0,1,11,10.0
2,1.0,1.0,0,3,1,1,0,2,1.0,1.0,1799.0,30,90,1,7,21,51,141,4.85,4.93,4.9,4.96,4.97,4.96,4.74,0,0.64,3,0,11,9.05
3,1.0,1.0,0,52,1,1,0,3,1.0,1.0,900.0,1,365,1,15,45,75,350,4.38,4.56,4.58,4.65,4.66,4.27,4.3,1,0.94,3,0,11,10.05
3,1.0,0.0,0,7,1,1,0,4,1.0,1.0,2425.0,3,730,1,0,0,24,299,4.75,4.75,4.75,4.75,4.88,4.75,4.5,0,0.07,2,1,13,5.11
0,0.0,0.0,0,9,1,1,0,5,3.0,3.0,5680.0,28,365,1,0,27,57,332,4.77,4.84,4.85,4.86,4.89,4.86,4.76,0,0.99,3,1,12,8.26
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,1071.0,1,1125,1,25,55,85,176,4.53,4.73,4.78,4.84,4.79,4.39,4.52,1,1.26,3,0,11,10.08
3,1.0,0.99,1,9,1,1,0,2,1.0,1.0,888.0,7,365,1,6,15,45,135,4.7,4.81,4.82,4.86,4.88,4.17,4.6,0,0.48,3,1,10,10.18
1,1.0,1.0,0,3,1,1,0,2,2.0,1.0,8659.0,1,365,1,24,54,84,359,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.02,1,0,12,7.68
1,1.0,1.0,0,3,1,1,0,2,1.0,1.0,3464.0,2,365,1,28,58,88,363,4.0,4.0,5.0,3.0,3.0,4.0,4.0,0,0.01,1,0,12,0.0
3,1.0,0.99,0,2,1,1,0,5,3.0,3.0,7786.0,20,270,1,0,0,0,0,4.83,4.86,4.78,4.77,4.75,4.77,4.77,0,2.33,3,0,11,10.84
3,1.0,1.0,0,52,1,1,0,2,1.0,1.0,1140.0,1,1125,1,22,48,78,353,4.55,4.69,4.71,4.64,4.67,4.39,4.54,1,0.95,3,0,11,10.37
3,1.0,1.0,0,3,1,1,2,3,1.0,2.0,1190.0,1,180,1,30,56,86,361,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1,0.09,1,1,12,0.0
3,1.0,0.98,1,4,1,1,0,4,2.0,3.0,3450.0,5,60,1,4,34,64,64,4.78,4.94,4.64,4.83,4.92,4.97,4.58,0,0.37,3,1,10,7.95
3,1.0,1.0,0,74,1,1,0,3,1.0,1.0,850.0,1,1125,1,4,11,41,316,4.56,4.66,4.63,4.77,4.79,4.54,4.64,1,2.19,3,1,12,10.84
3,1.0,0.97,0,2,1,1,2,2,1.0,1.0,1200.0,1,365,1,29,59,89,364,4.61,4.54,4.64,4.8,4.64,4.63,4.59,0,0.5,3,1,12,9.09
2,1.0,0.66,0,26,1,1,2,2,1.0,1.0,850.0,1,180,1,30,60,90,365,4.22,4.13,4.75,4.5,3.88,4.38,4.63,0,0.1,2,1,10,6.81
2,1.0,1.0,0,10,1,1,0,2,1.0,1.0,1090.0,7,365,1,17,47,77,167,4.17,4.52,4.3,4.13,4.11,4.3,4.21,0,0.45,3,0,14,11.21
2,1.0,0.66,0,26,1,1,2,2,1.0,1.0,700.0,1,90,1,30,60,90,365,5.0,5.0,5.0,5.0,5.0,4.0,4.33,0,0.05,1,1,10,0.25
3,1.0,1.0,0,10,1,1,0,2,1.0,1.0,935.0,28,365,1,30,60,90,336,4.3,4.69,4.59,4.58,4.59,3.69,4.42,0,0.24,0,0,11,8.45
3,1.0,1.0,0,10,1,1,0,4,2.0,2.0,2251.0,7,1125,1,3,24,44,319,4.67,4.79,4.8,4.9,4.83,4.55,4.66,0,0.77,3,0,11,10.61
2,1.0,1.0,0,10,1,1,0,4,1.0,3.0,1680.0,6,365,1,22,52,82,172,4.43,4.63,4.47,4.51,4.29,4.63,4.48,0,0.53,3,0,14,11.72
